vol_id,page,type,sub_type,add,type_index,re_define,0,1,2
chi.40727635,1,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/40727635/00000001.jpg,chi.40727635,1
chi.40727635,2,no_content,no_content,stamp,0,no_content,/N/slate/ninoparu/extracted_images/40727635/00000002.jpg,chi.40727635,2
chi.40727635,3,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/40727635/00000003.jpg,chi.40727635,3
chi.40727635,4,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/40727635/00000004.jpg,chi.40727635,4
chi.40727635,5,factual,title,,1,cover,/N/slate/ninoparu/extracted_images/40727635/00000005.jpg,chi.40727635,5
chi.40727635,6,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/40727635/00000006.jpg,chi.40727635,6
chi.40727635,7,factual,title,,1,cover,/N/slate/ninoparu/extracted_images/40727635/00000007.jpg,chi.40727635,7
chi.40727635,8,factual,pub_info,,2,text,/N/slate/ninoparu/extracted_images/40727635/00000008.jpg,chi.40727635,8
chi.40727635,9,factual,list,,3,text,/N/slate/ninoparu/extracted_images/40727635/00000009.jpg,chi.40727635,9
chi.40727635,10,factual,list,,3,text,/N/slate/ninoparu/extracted_images/40727635/00000010.jpg,chi.40727635,10
chi.40727635,11,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000011.jpg,chi.40727635,11
chi.40727635,12,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000012.jpg,chi.40727635,12
chi.40727635,13,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000013.jpg,chi.40727635,13
chi.40727635,14,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000014.jpg,chi.40727635,14
chi.40727635,15,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000015.jpg,chi.40727635,15
chi.40727635,16,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000016.jpg,chi.40727635,16
chi.40727635,17,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000017.jpg,chi.40727635,17
chi.40727635,18,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000018.jpg,chi.40727635,18
chi.40727635,19,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000019.jpg,chi.40727635,19
chi.40727635,20,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/40727635/00000020.jpg,chi.40727635,20
coo.31924000431662,1,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924000431662/00000001.jpg,coo.31924000431662,1
coo.31924000431662,2,no_content,no_content,"barcode, due date slip",0,no_content,/N/slate/ninoparu/extracted_images/31924000431662/00000002.jpg,coo.31924000431662,2
coo.31924000431662,3,factual,title,,1,cover,/N/slate/ninoparu/extracted_images/31924000431662/00000003.jpg,coo.31924000431662,3
coo.31924000431662,4,factual,pub_info,,2,text,/N/slate/ninoparu/extracted_images/31924000431662/00000004.jpg,coo.31924000431662,4
coo.31924000431662,5,factual,list,,3,text,/N/slate/ninoparu/extracted_images/31924000431662/00000005.jpg,coo.31924000431662,5
coo.31924000431662,6,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924000431662/00000006.jpg,coo.31924000431662,6
coo.31924000431662,7,creative,pref_text,foreword,5,text,/N/slate/ninoparu/extracted_images/31924000431662/00000007.jpg,coo.31924000431662,7
coo.31924000431662,8,creative,pref_text,foreword,5,text,/N/slate/ninoparu/extracted_images/31924000431662/00000008.jpg,coo.31924000431662,8
coo.31924000431662,9,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000009.jpg,coo.31924000431662,9
coo.31924000431662,10,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000010.jpg,coo.31924000431662,10
coo.31924000431662,11,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000011.jpg,coo.31924000431662,11
coo.31924000431662,12,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000012.jpg,coo.31924000431662,12
coo.31924000431662,13,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000013.jpg,coo.31924000431662,13
coo.31924000431662,14,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000014.jpg,coo.31924000431662,14
coo.31924000431662,15,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000015.jpg,coo.31924000431662,15
coo.31924000431662,16,factual,main_text,data table,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000016.jpg,coo.31924000431662,16
coo.31924000431662,17,factual,main_text,data table,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000017.jpg,coo.31924000431662,17
coo.31924000431662,18,factual,main_text,data table,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000018.jpg,coo.31924000431662,18
coo.31924000431662,19,factual,main_text,data table,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000019.jpg,coo.31924000431662,19
coo.31924000431662,20,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924000431662/00000020.jpg,coo.31924000431662,20
coo.31924001144959,1,no_content,no_content,binding,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000001.jpg,coo.31924001144959,1
coo.31924001144959,2,no_content,no_content,library bookplate,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000002.jpg,coo.31924001144959,2
coo.31924001144959,3,no_content,no_content,"due date slip, barcode",0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000003.jpg,coo.31924001144959,3
coo.31924001144959,4,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000004.jpg,coo.31924001144959,4
coo.31924001144959,5,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000005.jpg,coo.31924001144959,5
coo.31924001144959,6,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000006.jpg,coo.31924001144959,6
coo.31924001144959,7,factual,title,,1,cover,/N/slate/ninoparu/extracted_images/31924001144959/00000007.jpg,coo.31924001144959,7
coo.31924001144959,8,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000008.jpg,coo.31924001144959,8
coo.31924001144959,9,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000009.jpg,coo.31924001144959,9
coo.31924001144959,10,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000010.jpg,coo.31924001144959,10
coo.31924001144959,11,factual,title,,1,cover,/N/slate/ninoparu/extracted_images/31924001144959/00000011.jpg,coo.31924001144959,11
coo.31924001144959,12,factual,pub_info,,2,text,/N/slate/ninoparu/extracted_images/31924001144959/00000012.jpg,coo.31924001144959,12
coo.31924001144959,13,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000013.jpg,coo.31924001144959,13
coo.31924001144959,14,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000014.jpg,coo.31924001144959,14
coo.31924001144959,15,creative,pref_text,preface,5,text,/N/slate/ninoparu/extracted_images/31924001144959/00000015.jpg,coo.31924001144959,15
coo.31924001144959,16,creative,pref_text,preface,5,text,/N/slate/ninoparu/extracted_images/31924001144959/00000016.jpg,coo.31924001144959,16
coo.31924001144959,17,creative,pref_text,preface,5,text,/N/slate/ninoparu/extracted_images/31924001144959/00000017.jpg,coo.31924001144959,17
coo.31924001144959,18,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000018.jpg,coo.31924001144959,18
coo.31924001144959,19,creative,main_text,,4,text,/N/slate/ninoparu/extracted_images/31924001144959/00000019.jpg,coo.31924001144959,19
coo.31924001144959,20,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924001144959/00000020.jpg,coo.31924001144959,20
coo.31924073896007,1,factual,cover,,6,cover,/N/slate/ninoparu/extracted_images/31924073896007/00000001.jpg,coo.31924073896007,1
coo.31924073896007,2,no_content,no_content,stamp,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000002.jpg,coo.31924073896007,2
coo.31924073896007,3,no_content,no_content,due date slip,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000003.jpg,coo.31924073896007,3
coo.31924073896007,4,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000004.jpg,coo.31924073896007,4
coo.31924073896007,5,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000005.jpg,coo.31924073896007,5
coo.31924073896007,6,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000006.jpg,coo.31924073896007,6
coo.31924073896007,7,factual,title,,1,cover,/N/slate/ninoparu/extracted_images/31924073896007/00000007.jpg,coo.31924073896007,7
coo.31924073896007,8,no_content,no_content,cutter,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000008.jpg,coo.31924073896007,8
coo.31924073896007,9,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000009.jpg,coo.31924073896007,9
coo.31924073896007,10,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000010.jpg,coo.31924073896007,10
coo.31924073896007,11,factual,list,,3,text,/N/slate/ninoparu/extracted_images/31924073896007/00000011.jpg,coo.31924073896007,11
coo.31924073896007,12,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000012.jpg,coo.31924073896007,12
coo.31924073896007,13,creative,pref_text,biography,5,text,/N/slate/ninoparu/extracted_images/31924073896007/00000013.jpg,coo.31924073896007,13
coo.31924073896007,14,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000014.jpg,coo.31924073896007,14
coo.31924073896007,15,creative,pref_text,acknowledgements,5,text,/N/slate/ninoparu/extracted_images/31924073896007/00000015.jpg,coo.31924073896007,15
coo.31924073896007,16,no_content,no_content,,0,no_content,/N/slate/ninoparu/extracted_images/31924073896007/00000016.jpg,coo.31924073896007,16
coo.31924073896007,17,creative,pref_text,abstract,5,text,/N/slate/ninoparu/extracted_images/31924073896007/00000017.jpg,coo.31924073896007,17
